标题,链接,大致预览
明天再跌2毛破位离场，不耗着了没意思,"https://guba.eastmoney.com/news,600900,1688082874.html",明天再跌2毛破位离场，不耗着了没意思
太多人因为ai和博主推荐进这个股了，估计还要跌，就是可怜了我这个拿了那么多年的。,"https://guba.eastmoney.com/news,600900,1688060573.html",太多人因为ai和博主推荐进这个股了，估计还要跌，就是可怜了我这个拿了那么多年的。
这个股不就是吃股息的股吗？,"https://guba.eastmoney.com/news,600900,1687963010.html",这个股不就是吃股息的股吗？
这个股是真狗啊,"https://guba.eastmoney.com/news,600900,1687767952.html",这个股是真狗啊
都是套牢盘，天天利好有用吗？,"https://guba.eastmoney.com/news,600900,1688065416.html",都是套牢盘，天天利好有用吗？
沪市主板公司业绩说明会“培育新动能”主题周活动启动,"https://guba.eastmoney.com/news,600900,1687543010.html",沪市主板公司业绩说明会“培育新动能”主题周活动启动
油已经拿起来了哈，明天大盘调整你出来表演呢,"https://guba.eastmoney.com/news,600900,1688071838.html",油已经拿起来了哈，明天大盘调整你出来表演呢
从三峡能源年报分析，投资风力发电，太阳能都是亏损的买卖。意味着什么？意味着电力有,"https://guba.eastmoney.com/news,600900,1688057462.html",从三峡能源年报分析，投资风力发电，太阳能都是亏损的买卖。意味着什么？意味着电力有
人生第一股，昨天建仓，你就来杯绿茶，我是真火！,"https://guba.eastmoney.com/news,600900,1687718427.html",人生第一股，昨天建仓，你就来杯绿茶，我是真火！
绿肥红瘦的家伙！,"https://guba.eastmoney.com/news,600900,1688031403.html",绿肥红瘦的家伙！
挂了26.83差一分钱成交,"https://guba.eastmoney.com/news,600900,1688006099.html",挂了26.83差一分钱成交
哎！说你什么好呢，我就是一个老登，一个绿意萦绕的老登。处女股你该红不红，持股一天,"https://guba.eastmoney.com/news,600900,1688024336.html",哎！说你什么好呢，我就是一个老登，一个绿意萦绕的老登。处女股你该红不红，持股一天
长江电力吹牛不好吹啊！！！来水偏枯，电价下行。讲故事又没什么好吹的，只能说自己是,"https://guba.eastmoney.com/news,600900,1688015682.html",长江电力吹牛不好吹啊！！！来水偏枯，电价下行。讲故事又没什么好吹的，只能说自己是
有人已看到15元了，看来我不是孤军奋战，对于长电，我继续下调预期，随着可控核聚变,"https://guba.eastmoney.com/news,600900,1687903064.html",有人已看到15元了，看来我不是孤军奋战，对于长电，我继续下调预期，随着可控核聚变
差不多了吧，都跌成狗了,"https://guba.eastmoney.com/news,600900,1687992803.html",差不多了吧，都跌成狗了
韭菜跌倒，量化吃饱,"https://guba.eastmoney.com/news,600900,1687994878.html",韭菜跌倒，量化吃饱
每天尾盘绿了就买一点，红了就卖一点，管他是涨还是跌，炒短线一直亏，不炒股又无聊，,"https://guba.eastmoney.com/news,600900,1687976273.html",每天尾盘绿了就买一点，红了就卖一点，管他是涨还是跌，炒短线一直亏，不炒股又无聊，
看着恶心，一买就套。宁愿割肉以后再也不碰了,"https://guba.eastmoney.com/news,600900,1687977737.html",看着恶心，一买就套。宁愿割肉以后再也不碰了
说明科技准备起飞了,"https://guba.eastmoney.com/news,600900,1687986092.html",说明科技准备起飞了
大哥，咱不能坚挺一点吗？老了不行？,"https://guba.eastmoney.com/news,600900,1687969304.html",大哥，咱不能坚挺一点吗？老了不行？
30年以后长江电力除权价零元以下，不用花钱买。,"https://guba.eastmoney.com/news,600900,1687932294.html",30年以后长江电力除权价零元以下，不用花钱买。
这个股票必掉到25圆一下，因为现在的股息率太低了，虽然稳定，怎么也要达到4，不然,"https://guba.eastmoney.com/news,600900,1687953227.html",这个股票必掉到25圆一下，因为现在的股息率太低了，虽然稳定，怎么也要达到4，不然
从月线kDJ指标看长江电力肯定是被超卖了只有长拿了,"https://guba.eastmoney.com/news,600900,1687962781.html",从月线kDJ指标看长江电力肯定是被超卖了只有长拿了
我是一路做T它还是一路跌，永远都T不到它的低价,"https://guba.eastmoney.com/news,600900,1687962018.html",我是一路做T它还是一路跌，永远都T不到它的低价
再跌2毛就要跑了，切记切记,"https://guba.eastmoney.com/news,600900,1687961768.html",再跌2毛就要跑了，切记切记
运气还可以，卖出600股，今天回补400股长江电力。,"https://guba.eastmoney.com/news,600900,1687893633.html",运气还可以，卖出600股，今天回补400股长江电力。
26.86买进了,"https://guba.eastmoney.com/news,600900,1687956328.html",26.86买进了
量化在搞什么,"https://guba.eastmoney.com/news,600900,1687959129.html",量化在搞什么
求有用的话，巴菲特都得,"https://guba.eastmoney.com/news,600900,1687945022.html",求有用的话，巴菲特都得
哪位大佬能说一下为什么它天天跌,"https://guba.eastmoney.com/news,600900,1687932548.html",哪位大佬能说一下为什么它天天跌
严重怀疑这票还有上涨可能吗？,"https://guba.eastmoney.com/news,600900,1687928345.html",严重怀疑这票还有上涨可能吗？
中小股民想求爷爷告奶奶的能不能涨一点！，想喝口肉汤都指望不上！,"https://guba.eastmoney.com/news,600900,1687903977.html",中小股民想求爷爷告奶奶的能不能涨一点！，想喝口肉汤都指望不上！
管好家人。拥有长江电力。远离股市，,"https://guba.eastmoney.com/news,600900,1687814741.html",管好家人。拥有长江电力。远离股市，
就知道你没憋好屁,"https://guba.eastmoney.com/news,600900,1687815489.html",就知道你没憋好屁
的！天天上方承压，承压！咋没有压你？,"https://guba.eastmoney.com/news,600900,1687887891.html",的！天天上方承压，承压！咋没有压你？
这是好股票，打算跌到15元开始买入,"https://guba.eastmoney.com/news,600900,1687729677.html",这是好股票，打算跌到15元开始买入
今年长江来水偏枯对利润影响几何？,"https://guba.eastmoney.com/news,600900,1687820444.html",今年长江来水偏枯对利润影响几何？
25.5买入合适,"https://guba.eastmoney.com/news,600900,1687791152.html",25.5买入合适
27.10占个位置,"https://guba.eastmoney.com/news,600900,1687796470.html",27.10占个位置
漂亮，四连绿,"https://guba.eastmoney.com/news,600900,1687626200.html",漂亮，四连绿
跌到多少买入比较好,"https://guba.eastmoney.com/news,600900,1687773503.html",跌到多少买入比较好
事实证明还好我跑路了,"https://guba.eastmoney.com/news,600900,1687782117.html",事实证明还好我跑路了
等20块钱我就回来,"https://guba.eastmoney.com/news,600900,1687782650.html",等20块钱我就回来
在电力里算跌的少的,"https://guba.eastmoney.com/news,600900,1687799182.html",在电力里算跌的少的
小老弟我等你分红，我就不信27.65是你这一辈子的顶。,"https://guba.eastmoney.com/news,600900,1687745761.html",小老弟我等你分红，我就不信27.65是你这一辈子的顶。
差点被长江电力套住了，我的天,"https://guba.eastmoney.com/news,600900,1681204360.html",差点被长江电力套住了，我的天
公益，公用事业股！就不要指望涨个5元以上了，这就是没主力愿意做多，就一帮套牢的在,"https://guba.eastmoney.com/news,600900,1687798126.html",公益，公用事业股！就不要指望涨个5元以上了，这就是没主力愿意做多，就一帮套牢的在
今天可以建仓吗？？,"https://guba.eastmoney.com/news,600900,1687727793.html",今天可以建仓吗？？
每次下跌只有几百家的时候，一定有你,"https://guba.eastmoney.com/news,600900,1687622732.html",每次下跌只有几百家的时候，一定有你
5日线压制，短线没有行情。,"https://guba.eastmoney.com/news,600900,1687743567.html",5日线压制，短线没有行情。
不论怎么表演，接下来都是向下。,"https://guba.eastmoney.com/news,600900,1687737434.html",不论怎么表演，接下来都是向下。
解套就走，两年炒了个寂寞，还不如存定期。,"https://guba.eastmoney.com/news,600900,1687576378.html",解套就走，两年炒了个寂寞，还不如存定期。
多少买合适？,"https://guba.eastmoney.com/news,600900,1686965126.html",多少买合适？
我问了豆包，说市盈率在19-20之间，适合长线投资，可以买一点，我在等它跌一点买,"https://guba.eastmoney.com/news,600900,1687571357.html",我问了豆包，说市盈率在19-20之间，适合长线投资，可以买一点，我在等它跌一点买
真是春春的飞舞啊,"https://guba.eastmoney.com/news,600900,1687661161.html",真是春春的飞舞啊
兄弟们，长江电力能不能入手了。,"https://guba.eastmoney.com/news,600900,1687609322.html",兄弟们，长江电力能不能入手了。
大哥你得稳住你不稳我都不想玩股票了,"https://guba.eastmoney.com/news,600900,1687621711.html",大哥你得稳住你不稳我都不想玩股票了
怎么回事啊？,"https://guba.eastmoney.com/news,600900,1687619111.html",怎么回事啊？
